epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,308.364,1.61632,3.81176,0.02095,0.56793,0.41348,0.41979,0.21315,1.77426,2.14861,0.02956,0.00999386,0.00333129,0.00999386,0.00333129,0.00999386,0.00333129,0.00999386,0.00333129
2,536.271,1.70409,2.2285,0.02274,0.60167,0.38802,0.4016,0.20071,1.82844,2.19635,0.03083,0.0199147,0.00663823,0.0199147,0.00663823,0.0199147,0.00663823,0.0199147,0.00663823
3,736.565,1.78601,2.19853,0.02402,0.43867,0.36555,0.33668,0.15894,1.9205,2.32311,0.03308,0.0297563,0.00991877,0.0297563,0.00991877,0.0297563,0.00991877,0.0297563,0.00991877
4,925.548,1.82264,2.20696,0.02451,0.51778,0.40903,0.42062,0.20848,1.87629,2.16188,0.03211,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
5,1111.2,1.78629,2.07565,0.02378,0.54626,0.44781,0.44755,0.23474,1.77965,1.95912,0.02907,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
6,1294.87,1.75511,1.98007,0.0233,0.58482,0.45306,0.47895,0.25594,1.76416,1.88708,0.0288,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
7,1479.91,1.73692,1.90028,0.02292,0.57853,0.45749,0.48301,0.26569,1.7704,1.84572,0.02826,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
8,1664.87,1.723,1.82861,0.02263,0.62691,0.46935,0.50823,0.28225,1.71899,1.77076,0.02798,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
9,1854.6,1.70777,1.81009,0.02208,0.64622,0.46379,0.51299,0.29443,1.68094,1.80926,0.02687,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
10,2036.53,1.69937,1.75803,0.02219,0.58669,0.47817,0.50354,0.28979,1.72191,1.80874,0.02729,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
11,2221.25,1.68043,1.75444,0.0219,0.63506,0.49946,0.5239,0.30264,1.6485,1.78299,0.02612,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
12,2406.28,1.67669,1.71044,0.02169,0.60007,0.4939,0.52331,0.30811,1.64482,1.74212,0.02602,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
13,2590.93,1.66126,1.67252,0.02156,0.66821,0.47645,0.54026,0.31577,1.64256,1.69958,0.02613,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
14,2778.66,1.65964,1.64848,0.02143,0.66638,0.48329,0.54269,0.3228,1.63804,1.70314,0.02568,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
15,2966.58,1.65381,1.63132,0.02137,0.65152,0.4843,0.53779,0.31724,1.63195,1.69617,0.02612,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
16,3154.69,1.65777,1.61306,0.02128,0.64112,0.50512,0.54925,0.31957,1.6432,1.66062,0.02591,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
17,3340.52,1.6384,1.59185,0.02113,0.64791,0.51175,0.55553,0.32439,1.6187,1.6426,0.0257,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
18,3525.89,1.64222,1.57373,0.02115,0.67718,0.50508,0.55894,0.32736,1.59851,1.67565,0.02514,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
19,3712.3,1.63584,1.56483,0.02112,0.65464,0.50851,0.55116,0.32965,1.59453,1.65223,0.02517,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
20,3896.16,1.62684,1.56426,0.02078,0.65612,0.50336,0.55679,0.33209,1.58271,1.65151,0.02489,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
21,4081.89,1.61854,1.55283,0.02068,0.67701,0.49949,0.55688,0.33286,1.57994,1.64384,0.02469,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
22,4268.17,1.61926,1.52296,0.02071,0.66316,0.50928,0.56188,0.33554,1.58488,1.62656,0.02486,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
23,4453.08,1.61646,1.526,0.02073,0.68427,0.51313,0.56403,0.33521,1.56763,1.64027,0.02455,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
24,4639.14,1.60651,1.49854,0.02062,0.68212,0.50622,0.56713,0.3424,1.56956,1.6316,0.02454,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
25,4827.25,1.61035,1.48981,0.02043,0.68151,0.50763,0.57494,0.34643,1.56306,1.6101,0.02428,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
26,5013.15,1.59449,1.48262,0.02036,0.66124,0.51663,0.57022,0.34601,1.55629,1.61822,0.02411,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
27,5199.61,1.5957,1.48143,0.02038,0.66144,0.52967,0.57458,0.34906,1.54391,1.61801,0.02395,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
28,5383.8,1.59521,1.47997,0.02036,0.67578,0.50947,0.57547,0.34829,1.54327,1.61925,0.02404,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
29,5568.41,1.59329,1.45745,0.02016,0.66478,0.5249,0.57672,0.35063,1.54734,1.60391,0.024,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
30,5752.88,1.58093,1.44559,0.02007,0.70869,0.50959,0.57552,0.35251,1.55025,1.59794,0.02403,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
31,5939.37,1.59129,1.44009,0.02015,0.67484,0.52078,0.57864,0.3522,1.5436,1.60582,0.02383,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
32,6123.71,1.58618,1.42315,0.02019,0.69459,0.52095,0.57984,0.3547,1.54171,1.61208,0.02376,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
33,6304.84,1.58757,1.41143,0.02001,0.69575,0.52999,0.58458,0.35545,1.54653,1.59726,0.02389,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
