epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,85.474,1.60521,5.22843,0.0189,0.69945,0.14375,0.1491,0.06034,1.68121,2.99547,0.02334,0.00997368,0.00332456,0.00997368,0.00332456,0.00997368,0.00332456,0.00997368,0.00332456
2,141.383,1.67648,2.93326,0.02015,0.33301,0.19978,0.16421,0.06814,1.85393,2.62912,0.02617,0.0198946,0.00663153,0.0198946,0.00663153,0.0198946,0.00663153,0.0198946,0.00663153
3,189.166,1.79913,2.57241,0.02245,0.27603,0.24063,0.16524,0.0557,2.05773,2.91645,0.03059,0.0297363,0.0099121,0.0297363,0.0099121,0.0297363,0.0099121,0.0297363,0.0099121
4,235.542,1.87774,2.56452,0.0239,0.3165,0.20901,0.15582,0.05049,2.17812,2.78769,0.03348,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
5,279.251,1.88354,2.46617,0.02349,0.35334,0.28948,0.21518,0.07815,2.08801,2.55297,0.03128,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
6,323.272,1.87673,2.39301,0.02365,0.33894,0.28964,0.22646,0.08258,1.98368,2.45929,0.02903,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
7,366.914,1.85246,2.31845,0.02315,0.31777,0.31479,0.20999,0.07854,2.03821,2.45937,0.0301,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
8,409.063,1.81761,2.28254,0.02229,0.40748,0.31064,0.27488,0.11141,1.9114,2.28431,0.02807,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
9,451.901,1.80442,2.20356,0.02242,0.3345,0.32383,0.25763,0.09773,1.93422,2.40428,0.02827,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
10,496.11,1.7912,2.19105,0.02214,0.40094,0.33455,0.27506,0.11786,1.8862,2.28283,0.02732,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
