epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,40.6865,1.42107,5.67961,0.01673,0.8069,0.04444,0.13404,0.07232,1.23701,4.2365,0.02983,0.00993902,0.00331301,0.00993902,0.00331301,0.00993902,0.00331301,0.00993902,0.00331301
2,65.0118,1.39623,4.0618,0.01654,0.40392,0.29587,0.26965,0.14911,1.6421,2.75851,0.04053,0.0198601,0.00662002,0.0198601,0.00662002,0.0198601,0.00662002,0.0198601,0.00662002
3,85.5923,1.53418,3.29744,0.01867,0.27835,0.23846,0.18891,0.09356,1.84622,3.14301,0.04515,0.0297019,0.00990064,0.0297019,0.00990064,0.0297019,0.00990064,0.0297019,0.00990064
4,103.741,1.66905,3.09896,0.02067,0.35608,0.3226,0.28983,0.13633,1.97945,2.6697,0.05273,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
5,122.128,1.67017,2.94588,0.02074,0.37124,0.37184,0.28544,0.13972,1.99628,2.64209,0.05332,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
6,141.235,1.65029,2.79298,0.02043,0.48187,0.4258,0.39353,0.20056,1.88275,2.25987,0.0508,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
7,160.432,1.61878,2.68628,0.01972,0.46432,0.42183,0.37595,0.18006,1.94734,2.47742,0.05079,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
8,179.153,1.62003,2.62468,0.02024,0.57087,0.41091,0.40762,0.21325,1.93859,2.34124,0.05167,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
9,198.656,1.58623,2.59188,0.01946,0.50993,0.51419,0.48067,0.2579,1.84282,2.27945,0.0479,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
10,217.381,1.57875,2.50013,0.01923,0.43728,0.44923,0.42669,0.19174,1.96316,2.56869,0.05423,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
11,236.696,1.53271,2.45331,0.0185,0.57407,0.42591,0.48874,0.24288,1.90544,2.19935,0.05085,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
12,255.069,1.53659,2.38137,0.0183,0.58282,0.60764,0.58471,0.31048,1.79427,1.62043,0.04753,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
13,273.381,1.50622,2.35807,0.01789,0.6825,0.53517,0.59965,0.34692,1.67404,1.77871,0.04554,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
14,292.755,1.51651,2.30411,0.01815,0.69564,0.53581,0.61181,0.36394,1.62778,1.7358,0.04152,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
15,311.116,1.47648,2.2547,0.01749,0.60835,0.59329,0.56588,0.32454,1.57754,1.82348,0.0411,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
16,330.344,1.46689,2.1974,0.01725,0.72376,0.56785,0.63583,0.405,1.51051,1.53733,0.03967,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
17,347.608,1.43943,2.15561,0.01682,0.67463,0.55309,0.64543,0.39968,1.53943,1.51365,0.03896,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
18,365.832,1.42196,2.1539,0.01658,0.63206,0.63845,0.65308,0.39881,1.55801,1.58058,0.03971,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
19,383.192,1.45582,2.13111,0.0171,0.65094,0.60127,0.63514,0.37422,1.49417,1.62417,0.03776,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
20,402.144,1.422,2.12125,0.01655,0.64039,0.63592,0.62706,0.35743,1.641,1.64584,0.04411,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
21,419.737,1.44017,2.09762,0.01671,0.64951,0.65391,0.67762,0.41859,1.4171,1.38283,0.03671,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
22,437.68,1.38775,2.04513,0.01595,0.70413,0.56551,0.65198,0.406,1.43391,1.51035,0.03758,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
23,456.396,1.40967,1.98608,0.01668,0.6704,0.70384,0.6982,0.45765,1.31068,1.34163,0.03357,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
24,473.837,1.37067,1.95371,0.01604,0.72665,0.6562,0.67028,0.41438,1.45158,1.37869,0.03805,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
25,493.237,1.38633,1.94342,0.0162,0.62361,0.62794,0.64282,0.4082,1.41353,1.47642,0.03649,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
26,510.59,1.37578,1.91476,0.01597,0.65722,0.68813,0.68137,0.44697,1.38628,1.40312,0.03528,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
27,528.391,1.38573,1.91741,0.0163,0.70084,0.62239,0.68094,0.4383,1.29639,1.3371,0.03385,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
28,546.856,1.35093,1.89334,0.01552,0.71657,0.62552,0.70424,0.4411,1.52855,1.42655,0.04068,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
29,564.602,1.37026,1.9183,0.0158,0.70837,0.65479,0.6856,0.41987,1.4022,1.27432,0.03636,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
30,583.279,1.35171,1.84998,0.0155,0.72145,0.63152,0.70131,0.43285,1.49972,1.41214,0.04042,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
31,601.35,1.34963,1.84526,0.01538,0.731,0.63411,0.67765,0.42409,1.40453,1.59862,0.03703,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
32,619.081,1.33519,1.82225,0.01493,0.72187,0.59895,0.66691,0.4406,1.41834,1.3194,0.03776,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
33,636.525,1.32766,1.83766,0.01519,0.72983,0.67541,0.72011,0.47342,1.38872,1.20481,0.03659,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
34,653.892,1.33742,1.79726,0.01499,0.79517,0.66516,0.74728,0.46427,1.39319,1.15958,0.03558,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
35,671.872,1.32923,1.78548,0.01519,0.76177,0.71737,0.77652,0.52182,1.25329,1.1232,0.03144,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
36,691.101,1.32002,1.77318,0.01501,0.72052,0.65315,0.70465,0.44638,1.50676,1.23585,0.04052,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
37,709.299,1.30704,1.72339,0.01499,0.68025,0.71331,0.74654,0.48099,1.37693,1.08242,0.03607,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
38,728.346,1.28763,1.72611,0.01442,0.78472,0.75133,0.78805,0.49553,1.38051,1.0474,0.03402,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
39,746.842,1.30492,1.71776,0.01444,0.77205,0.71441,0.77479,0.50271,1.2989,1.04909,0.03189,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
40,764.693,1.28179,1.66806,0.01461,0.71374,0.75836,0.75314,0.47094,1.25833,1.12288,0.03315,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
41,784.167,1.27038,1.6668,0.01433,0.71492,0.68792,0.72533,0.4918,1.23454,1.0929,0.03257,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
42,802.358,1.28363,1.692,0.01439,0.74979,0.64593,0.738,0.48601,1.25772,1.05797,0.03168,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
43,821.004,1.28749,1.66936,0.01445,0.77092,0.64895,0.70001,0.46219,1.29777,1.2016,0.0333,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
44,839.307,1.26176,1.62443,0.01428,0.74238,0.73201,0.77461,0.53348,1.23892,0.97986,0.03039,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
45,857.287,1.268,1.62855,0.01395,0.74948,0.73138,0.77271,0.52245,1.18915,1.01588,0.02973,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
46,875.381,1.27393,1.62175,0.01447,0.70858,0.73614,0.75588,0.50207,1.17082,1.14466,0.02943,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
47,893.01,1.23584,1.59364,0.0143,0.72761,0.71692,0.74898,0.48204,1.34168,1.05207,0.03382,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
48,910.9,1.25913,1.58134,0.01412,0.77178,0.71755,0.75939,0.49528,1.32734,1.0563,0.03331,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
49,928.61,1.23474,1.59215,0.01373,0.7419,0.76598,0.80734,0.54125,1.22765,1.00988,0.03205,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
50,947.138,1.23793,1.52462,0.01377,0.78619,0.75038,0.80057,0.53981,1.20524,0.98775,0.03085,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
51,964.264,1.20995,1.51058,0.01335,0.80791,0.70915,0.76981,0.50027,1.31447,1.03013,0.03537,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
52,981.913,1.2415,1.52398,0.01374,0.74094,0.75398,0.79349,0.53356,1.18903,1.00075,0.02994,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
53,999.766,1.2213,1.53061,0.0137,0.77152,0.73,0.77888,0.53123,1.18455,1.15322,0.02911,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
54,1018.14,1.21341,1.52776,0.01341,0.69033,0.71199,0.75253,0.511,1.22105,1.02821,0.03181,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
55,1035.79,1.22885,1.53125,0.01374,0.73329,0.72926,0.78489,0.5208,1.1471,1.02442,0.02802,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
56,1053.74,1.217,1.47478,0.01367,0.76913,0.67753,0.75584,0.49538,1.27505,1.0833,0.0339,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
57,1072.72,1.20268,1.4731,0.01331,0.76212,0.71903,0.78402,0.54555,1.12528,1.11768,0.02858,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
58,1090.71,1.18023,1.44933,0.01302,0.78826,0.69698,0.76737,0.51401,1.23683,1.00871,0.03071,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
59,1108.2,1.20613,1.48616,0.0132,0.72729,0.71634,0.77323,0.52196,1.31487,1.1607,0.03416,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
60,1126.37,1.19449,1.48505,0.01312,0.73968,0.76807,0.78941,0.53425,1.25936,0.97189,0.03077,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
61,1145.7,1.20666,1.44166,0.0134,0.76659,0.70341,0.7718,0.52081,1.28824,1.03729,0.03183,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
62,1163.19,1.17448,1.42035,0.01308,0.81849,0.71149,0.81271,0.54523,1.24834,0.94315,0.03196,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
63,1182.1,1.16379,1.3942,0.01303,0.87546,0.68482,0.80419,0.54215,1.21193,0.91533,0.03092,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448
64,1200.5,1.19174,1.40956,0.01315,0.77811,0.72845,0.77794,0.53112,1.23742,1.0582,0.03109,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052
65,1219.33,1.16259,1.40979,0.01279,0.81585,0.73608,0.80734,0.58477,1.06398,0.84211,0.02597,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656
66,1236.62,1.18529,1.41606,0.0129,0.78975,0.69037,0.77653,0.54768,1.07607,0.95121,0.02576,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
67,1254.34,1.16852,1.38232,0.01272,0.79796,0.7817,0.80714,0.55523,1.1994,0.84389,0.02919,0.0221592,0.0073864,0.0221592,0.0073864,0.0221592,0.0073864,0.0221592,0.0073864
68,1272.34,1.1504,1.36197,0.0126,0.77529,0.78114,0.80988,0.56437,1.09461,0.88758,0.02627,0.0220404,0.0073468,0.0220404,0.0073468,0.0220404,0.0073468,0.0220404,0.0073468
69,1290.23,1.17496,1.38813,0.01285,0.84455,0.71507,0.82225,0.59377,1.06828,0.88865,0.02595,0.0219216,0.0073072,0.0219216,0.0073072,0.0219216,0.0073072,0.0219216,0.0073072
70,1308.11,1.14317,1.35213,0.01268,0.84551,0.66199,0.77253,0.54466,1.14108,1.15262,0.02889,0.0218028,0.0072676,0.0218028,0.0072676,0.0218028,0.0072676,0.0218028,0.0072676
71,1325.12,1.13731,1.35454,0.01261,0.79634,0.75789,0.79066,0.5597,1.15311,0.90363,0.0276,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
72,1343.06,1.15481,1.33893,0.01264,0.80183,0.78311,0.81547,0.56299,1.09115,0.89919,0.02676,0.0215652,0.0071884,0.0215652,0.0071884,0.0215652,0.0071884,0.0215652,0.0071884
73,1360.4,1.13222,1.30724,0.01212,0.76483,0.75776,0.79921,0.55779,1.15658,0.95546,0.03,0.0214464,0.0071488,0.0214464,0.0071488,0.0214464,0.0071488,0.0214464,0.0071488
74,1378.72,1.12718,1.29695,0.01205,0.79414,0.79672,0.83518,0.58717,1.12899,0.89081,0.02669,0.0213276,0.0071092,0.0213276,0.0071092,0.0213276,0.0071092,0.0213276,0.0071092
75,1396.62,1.13354,1.31331,0.0124,0.80607,0.73119,0.80694,0.57526,1.13072,0.92325,0.02833,0.0212088,0.0070696,0.0212088,0.0070696,0.0212088,0.0070696,0.0212088,0.0070696
76,1414.79,1.1389,1.30264,0.01214,0.81883,0.68493,0.80805,0.58305,1.10599,0.96035,0.02766,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
77,1432.57,1.13426,1.26466,0.01228,0.83585,0.75037,0.80885,0.56151,1.13891,0.90201,0.02928,0.0209712,0.0069904,0.0209712,0.0069904,0.0209712,0.0069904,0.0209712,0.0069904
78,1450.84,1.12735,1.29697,0.01228,0.86808,0.65747,0.81233,0.57961,1.06447,0.94896,0.02589,0.0208524,0.0069508,0.0208524,0.0069508,0.0208524,0.0069508,0.0208524,0.0069508
79,1468.45,1.13198,1.23483,0.01197,0.82466,0.73886,0.81906,0.5699,1.18714,0.87136,0.0302,0.0207336,0.0069112,0.0207336,0.0069112,0.0207336,0.0069112,0.0207336,0.0069112
80,1487.14,1.10883,1.25533,0.01211,0.7709,0.71834,0.81037,0.60618,1.04126,0.88409,0.02536,0.0206148,0.0068716,0.0206148,0.0068716,0.0206148,0.0068716,0.0206148,0.0068716
81,1506.55,1.10245,1.26355,0.01194,0.86983,0.72532,0.83175,0.59595,1.11526,0.82496,0.02746,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
82,1524.09,1.09329,1.21083,0.01172,0.8451,0.72818,0.84098,0.60975,1.12413,0.81103,0.02823,0.0203772,0.0067924,0.0203772,0.0067924,0.0203772,0.0067924,0.0203772,0.0067924
83,1542.03,1.10877,1.22654,0.01196,0.826,0.7923,0.83999,0.59201,1.12037,0.78852,0.02745,0.0202584,0.0067528,0.0202584,0.0067528,0.0202584,0.0067528,0.0202584,0.0067528
84,1559.87,1.11667,1.26032,0.01208,0.85342,0.77008,0.823,0.5783,1.12629,0.87585,0.02687,0.0201396,0.0067132,0.0201396,0.0067132,0.0201396,0.0067132,0.0201396,0.0067132
85,1577.84,1.09403,1.23106,0.01168,0.82983,0.79495,0.83504,0.59572,1.08131,0.83479,0.02555,0.0200208,0.0066736,0.0200208,0.0066736,0.0200208,0.0066736,0.0200208,0.0066736
86,1595.76,1.11077,1.25012,0.01175,0.8534,0.72512,0.84345,0.58826,1.10787,0.89031,0.02616,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
87,1613.84,1.09727,1.21461,0.01169,0.8014,0.72942,0.81385,0.56744,1.19098,0.87597,0.02908,0.0197832,0.0065944,0.0197832,0.0065944,0.0197832,0.0065944,0.0197832,0.0065944
88,1631.33,1.09112,1.21079,0.01172,0.80875,0.77358,0.83442,0.62264,1.02781,0.84605,0.02497,0.0196644,0.0065548,0.0196644,0.0065548,0.0196644,0.0065548,0.0196644,0.0065548
89,1649.85,1.08429,1.20211,0.01176,0.82594,0.79604,0.84685,0.61101,1.05819,0.8145,0.02554,0.0195456,0.0065152,0.0195456,0.0065152,0.0195456,0.0065152,0.0195456,0.0065152
90,1667.33,1.10226,1.23113,0.01174,0.81604,0.71813,0.80491,0.58753,1.03165,0.98717,0.02623,0.0194268,0.0064756,0.0194268,0.0064756,0.0194268,0.0064756,0.0194268,0.0064756
91,1685.41,1.10016,1.19049,0.01163,0.81544,0.74431,0.80976,0.56329,1.19874,0.89434,0.02833,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
92,1704.27,1.09877,1.19983,0.01163,0.80124,0.79475,0.83029,0.59545,1.08942,0.83245,0.02617,0.0191892,0.0063964,0.0191892,0.0063964,0.0191892,0.0063964,0.0191892,0.0063964
93,1722.2,1.07186,1.18163,0.01161,0.82388,0.75836,0.81004,0.58422,1.1358,0.84006,0.02769,0.0190704,0.0063568,0.0190704,0.0063568,0.0190704,0.0063568,0.0190704,0.0063568
94,1739.9,1.08017,1.18375,0.01128,0.87792,0.75342,0.83772,0.60418,1.0876,0.80217,0.02558,0.0189516,0.0063172,0.0189516,0.0063172,0.0189516,0.0063172,0.0189516,0.0063172
95,1757.65,1.06841,1.13253,0.01117,0.81496,0.74996,0.82764,0.60636,1.05336,0.84624,0.02479,0.0188328,0.0062776,0.0188328,0.0062776,0.0188328,0.0062776,0.0188328,0.0062776
96,1775.15,1.07403,1.16973,0.01141,0.84437,0.74437,0.83182,0.60325,1.11979,0.87607,0.02657,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
97,1792.61,1.06729,1.13143,0.01134,0.84284,0.76331,0.85015,0.60734,1.08682,0.82621,0.02637,0.0185952,0.0061984,0.0185952,0.0061984,0.0185952,0.0061984,0.0185952,0.0061984
98,1810.18,1.05051,1.12217,0.01101,0.80862,0.8121,0.87272,0.62662,1.10408,0.78182,0.02657,0.0184764,0.0061588,0.0184764,0.0061588,0.0184764,0.0061588,0.0184764,0.0061588
99,1828.74,1.04817,1.12544,0.01109,0.83388,0.82281,0.85767,0.60685,1.08858,0.83318,0.02652,0.0183576,0.0061192,0.0183576,0.0061192,0.0183576,0.0061192,0.0183576,0.0061192
100,1846.21,1.05879,1.12922,0.01112,0.85143,0.79725,0.87425,0.6241,1.10004,0.7519,0.02622,0.0182388,0.0060796,0.0182388,0.0060796,0.0182388,0.0060796,0.0182388,0.0060796
101,1864.07,1.04403,1.12268,0.0111,0.84983,0.76236,0.86371,0.61162,1.08803,0.79738,0.02624,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
102,1881.9,1.02996,1.09557,0.01108,0.86437,0.76905,0.84287,0.5986,1.09244,0.83553,0.02663,0.0180012,0.0060004,0.0180012,0.0060004,0.0180012,0.0060004,0.0180012,0.0060004
103,1900.03,1.0498,1.12461,0.01101,0.86533,0.76613,0.85287,0.62469,1.05916,0.8299,0.02416,0.0178824,0.0059608,0.0178824,0.0059608,0.0178824,0.0059608,0.0178824,0.0059608
104,1917.93,1.04903,1.13216,0.01117,0.85943,0.7942,0.87632,0.64116,1.02582,0.78025,0.02362,0.0177636,0.0059212,0.0177636,0.0059212,0.0177636,0.0059212,0.0177636,0.0059212
105,1935.57,1.04913,1.1308,0.01118,0.84407,0.78606,0.84917,0.61737,1.01898,0.8284,0.0236,0.0176448,0.0058816,0.0176448,0.0058816,0.0176448,0.0058816,0.0176448,0.0058816
106,1954.18,1.03297,1.10419,0.01089,0.87029,0.76452,0.866,0.63322,1.06466,0.76354,0.02548,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
107,1971.77,1.04103,1.09637,0.0108,0.83558,0.81212,0.86227,0.63072,1.03541,0.75538,0.02571,0.0174072,0.0058024,0.0174072,0.0058024,0.0174072,0.0058024,0.0174072,0.0058024
108,1989.65,1.02232,1.09358,0.01063,0.85516,0.75836,0.85538,0.61389,1.05213,0.79818,0.02587,0.0172884,0.0057628,0.0172884,0.0057628,0.0172884,0.0057628,0.0172884,0.0057628
109,2007.85,1.01515,1.04835,0.0107,0.80598,0.80281,0.85558,0.62306,0.97571,0.85299,0.02462,0.0171696,0.0057232,0.0171696,0.0057232,0.0171696,0.0057232,0.0171696,0.0057232
110,2025.61,1.01772,1.05492,0.01077,0.85976,0.8088,0.87879,0.63652,1.07232,0.74336,0.02764,0.0170508,0.0056836,0.0170508,0.0056836,0.0170508,0.0056836,0.0170508,0.0056836
111,2044.54,1.0172,1.04826,0.01066,0.80015,0.80089,0.84563,0.62667,1.01804,0.73694,0.02452,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
112,2062.5,1.02361,1.05461,0.01037,0.82509,0.7996,0.85434,0.61026,1.1284,0.77573,0.02719,0.0168132,0.0056044,0.0168132,0.0056044,0.0168132,0.0056044,0.0168132,0.0056044
113,2081.28,1.00742,1.07134,0.01032,0.85538,0.74318,0.85544,0.6138,1.14021,0.69296,0.02883,0.0166944,0.0055648,0.0166944,0.0055648,0.0166944,0.0055648,0.0166944,0.0055648
114,2098.94,1.01377,1.06476,0.01094,0.80048,0.75048,0.85164,0.62458,1.041,0.78498,0.0251,0.0165756,0.0055252,0.0165756,0.0055252,0.0165756,0.0055252,0.0165756,0.0055252
115,2117.06,1.0135,1.06119,0.01068,0.82931,0.8115,0.86269,0.62778,1.05186,0.74739,0.02551,0.0164568,0.0054856,0.0164568,0.0054856,0.0164568,0.0054856,0.0164568,0.0054856
116,2134.8,1.03314,1.0452,0.01074,0.90349,0.79179,0.87105,0.63936,1.00293,0.74113,0.02438,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
117,2153.56,0.99772,1.0281,0.01052,0.89329,0.79845,0.86663,0.63747,1.02607,0.73239,0.02472,0.0162192,0.0054064,0.0162192,0.0054064,0.0162192,0.0054064,0.0162192,0.0054064
118,2171.76,1.0154,1.04455,0.01065,0.81235,0.79917,0.86273,0.64033,1.02198,0.74596,0.02478,0.0161004,0.0053668,0.0161004,0.0053668,0.0161004,0.0053668,0.0161004,0.0053668
119,2189.99,1.00484,1.04595,0.01036,0.87325,0.78681,0.86943,0.64135,0.97776,0.74141,0.02297,0.0159816,0.0053272,0.0159816,0.0053272,0.0159816,0.0053272,0.0159816,0.0053272
120,2209.21,0.99325,1.02927,0.01021,0.82056,0.81295,0.86677,0.6443,1.02443,0.73641,0.024,0.0158628,0.0052876,0.0158628,0.0052876,0.0158628,0.0052876,0.0158628,0.0052876
121,2227.24,0.97991,1.01597,0.01018,0.8904,0.79441,0.87539,0.63883,1.05151,0.71751,0.02433,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
122,2244.87,1.00473,1.01845,0.01045,0.81974,0.81395,0.87095,0.65475,0.97674,0.70538,0.02316,0.0156252,0.0052084,0.0156252,0.0052084,0.0156252,0.0052084,0.0156252,0.0052084
123,2263.03,0.98097,0.9994,0.01025,0.82156,0.82695,0.87298,0.64876,0.99636,0.72816,0.02316,0.0155064,0.0051688,0.0155064,0.0051688,0.0155064,0.0051688,0.0155064,0.0051688
124,2280.98,0.98218,1.00498,0.01035,0.8187,0.80413,0.85765,0.61766,1.06755,0.76447,0.02595,0.0153876,0.0051292,0.0153876,0.0051292,0.0153876,0.0051292,0.0153876,0.0051292
125,2299.02,0.97931,1.02012,0.01007,0.84908,0.77679,0.85065,0.63093,0.96386,0.81241,0.02285,0.0152688,0.0050896,0.0152688,0.0050896,0.0152688,0.0050896,0.0152688,0.0050896
126,2316.82,0.9906,1.01636,0.01018,0.87067,0.72037,0.85666,0.64441,0.95506,0.79209,0.02276,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
127,2334.45,0.97022,0.99027,0.00999,0.84186,0.78381,0.86696,0.63717,0.98147,0.75675,0.02346,0.0150312,0.0050104,0.0150312,0.0050104,0.0150312,0.0050104,0.0150312,0.0050104
128,2353.12,0.96543,0.97538,0.01005,0.88102,0.77141,0.86324,0.63552,0.9561,0.7425,0.0226,0.0149124,0.0049708,0.0149124,0.0049708,0.0149124,0.0049708,0.0149124,0.0049708
